,average,code,reference,speed,travelTimeMinutes,type,score,c-Value,speedBucket,segmentClosed,date,time
0,97.0,365636141,105.0,119.0,0.575,XDS,30.0,78.0,3.0,,2022-09-20,10:16
1,93.0,365706944,101.0,100.0,0.626,XDS,30.0,100.0,3.0,,2022-09-20,10:16
2,93.0,365706810,101.0,105.0,0.568,XDS,30.0,100.0,3.0,,2022-09-20,10:16
3,93.0,365706828,101.0,105.0,0.613,XDS,30.0,100.0,3.0,,2022-09-20,10:16
4,97.0,365636104,105.0,95.0,0.591,XDS,30.0,100.0,2.0,,2022-09-20,10:16
5,97.0,365636085,105.0,106.0,0.467,XDS,30.0,100.0,3.0,,2022-09-20,10:16
6,95.0,365673103,103.0,117.0,0.122,XDS,30.0,60.0,3.0,,2022-09-20,10:16
7,92.0,365706849,101.0,105.0,0.131,XDS,30.0,100.0,3.0,,2022-09-20,10:16
8,92.0,365706869,98.0,89.0,0.617,XDS,30.0,100.0,2.0,,2022-09-20,10:16
9,92.0,365706731,98.0,90.0,0.637,XDS,30.0,100.0,2.0,,2022-09-20,10:16
10,93.0,365744050,101.0,97.0,0.612,XDS,30.0,100.0,3.0,,2022-09-20,10:16
11,93.0,365744106,100.0,85.0,0.69,XDS,30.0,100.0,2.0,,2022-09-20,10:16
12,93.0,365744085,100.0,89.0,0.723,XDS,30.0,100.0,2.0,,2022-09-20,10:16
13,92.0,365706751,98.0,84.0,0.69,XDS,30.0,100.0,2.0,,2022-09-20,10:16
14,92.0,365706774,98.0,80.0,1.018,XDS,30.0,100.0,2.0,,2022-09-20,10:16
15,93.0,365706793,101.0,82.0,0.412,XDS,30.0,50.0,2.0,,2022-09-20,10:16
16,93.0,365744159,101.0,111.0,0.535,XDS,30.0,41.0,3.0,,2022-09-20,10:16
17,95.0,365744070,103.0,101.0,0.582,XDS,30.0,100.0,3.0,,2022-09-20,10:16
18,93.0,365706658,100.0,84.0,0.684,XDS,30.0,98.0,2.0,,2022-09-20,10:16
19,92.0,365744183,100.0,114.0,0.516,XDS,30.0,13.0,3.0,,2022-09-20,10:16
20,92.0,365760473,97.0,97.0,0.659,XDS,30.0,100.0,3.0,,2022-09-20,10:16
21,80.0,365760453,84.0,82.0,0.779,XDS,30.0,100.0,3.0,,2022-09-20,10:16
22,84.0,365722268,89.0,84.0,0.749,XDS,30.0,100.0,3.0,,2022-09-20,10:16
23,89.0,365722254,93.0,105.0,0.824,XDS,30.0,100.0,3.0,,2022-09-20,10:16
24,92.0,365737808,98.0,106.0,0.375,XDS,30.0,100.0,3.0,,2022-09-20,10:16
25,93.0,365760415,98.0,109.0,0.52,XDS,30.0,100.0,3.0,,2022-09-20,10:16
26,90.0,406802896,97.0,93.0,0.669,XDS,30.0,100.0,3.0,,2022-09-20,10:16
27,77.0,365737733,80.0,80.0,0.562,XDS,30.0,100.0,3.0,,2022-09-20,10:16
28,84.0,365737790,89.0,82.0,0.779,XDS,30.0,100.0,3.0,,2022-09-20,10:16
29,84.0,365737865,89.0,90.0,0.79,XDS,30.0,100.0,3.0,,2022-09-20,10:16
30,93.0,365706677,101.0,84.0,0.178,XDS,30.0,100.0,2.0,,2022-09-20,10:16
31,93.0,365744125,101.0,114.0,0.118,XDS,30.0,41.0,3.0,,2022-09-20,10:16
32,95.0,365744238,101.0,122.0,0.526,XDS,30.0,8.0,3.0,,2022-09-20,10:16
33,93.0,365744144,101.0,117.0,0.395,XDS,30.0,16.0,3.0,,2022-09-20,10:16
34,93.0,365706697,101.0,84.0,0.829,XDS,30.0,100.0,2.0,,2022-09-20,10:16
35,93.0,365706716,101.0,89.0,0.233,XDS,30.0,100.0,2.0,,2022-09-20,10:16
36,97.0,365744258,103.0,130.0,0.415,XDS,30.0,5.0,3.0,,2022-09-20,10:16
37,93.0,365707836,101.0,90.0,0.862,XDS,30.0,100.0,2.0,,2022-09-20,10:16
38,93.0,365707854,101.0,84.0,0.672,XDS,30.0,100.0,2.0,,2022-09-20,10:16
39,95.0,365744222,103.0,119.0,0.453,XDS,30.0,21.0,3.0,,2022-09-20,10:16
40,97.0,365744202,103.0,122.0,0.438,XDS,30.0,4.0,3.0,,2022-09-20,10:16
41,92.0,365707877,100.0,84.0,0.68,XDS,30.0,100.0,2.0,,2022-09-20,10:16
42,92.0,365707897,100.0,84.0,0.699,XDS,30.0,100.0,2.0,,2022-09-20,10:16
43,95.0,365744312,103.0,114.0,0.469,XDS,30.0,23.0,3.0,,2022-09-20,10:16
44,79.0,365613579,80.0,84.0,0.113,XDS,30.0,100.0,3.0,,2022-09-20,10:16
45,79.0,365681557,80.0,77.0,0.129,XDS,30.0,100.0,3.0,,2022-09-20,10:16
46,87.0,365744653,89.0,69.0,0.213,XDS,30.0,100.0,2.0,,2022-09-20,10:16
47,51.0,365744786,53.0,50.0,0.347,XDS,30.0,100.0,3.0,,2022-09-20,10:16
48,69.0,365630980,71.0,84.0,0.162,XDS,30.0,99.0,3.0,,2022-09-20,10:16
49,90.0,365744844,95.0,90.0,0.165,XDS,30.0,100.0,3.0,,2022-09-20,10:16
50,79.0,365648204,80.0,68.0,0.231,XDS,30.0,100.0,2.0,,2022-09-20,10:16
51,61.0,365727086,61.0,68.0,0.097,XDS,30.0,100.0,3.0,,2022-09-20,10:16
52,71.0,365650658,71.0,58.0,0.145,XDS,30.0,100.0,2.0,,2022-09-20,10:16
53,48.0,365637584,48.0,45.0,0.364,XDS,30.0,100.0,3.0,,2022-09-20,10:16
54,61.0,365687553,63.0,55.0,0.112,XDS,30.0,100.0,2.0,,2022-09-20,10:16
55,48.0,365757606,51.0,45.0,0.395,XDS,30.0,100.0,2.0,,2022-09-20,10:16
56,77.0,365683500,82.0,77.0,0.134,XDS,30.0,100.0,3.0,,2022-09-20,10:16
57,51.0,365631984,51.0,50.0,0.339,XDS,30.0,100.0,3.0,,2022-09-20,10:16
58,72.0,365744753,72.0,66.0,0.206,XDS,30.0,100.0,2.0,,2022-09-20,10:16
59,69.0,365744768,71.0,64.0,0.461,XDS,30.0,100.0,2.0,,2022-09-20,10:16
60,84.0,365744731,84.0,77.0,0.213,XDS,30.0,100.0,2.0,,2022-09-20,10:16
61,74.0,365738279,74.0,95.0,0.171,XDS,30.0,5.0,3.0,,2022-09-20,10:16
62,84.0,365616115,87.0,89.0,0.152,XDS,30.0,100.0,3.0,,2022-09-20,10:16
63,74.0,365673040,76.0,69.0,0.338,XDS,30.0,100.0,2.0,,2022-09-20,10:16
64,80.0,365744675,79.0,71.0,0.142,XDS,30.0,100.0,2.0,,2022-09-20,10:16
65,92.0,365707761,103.0,85.0,0.645,XDS,30.0,100.0,2.0,,2022-09-20,10:16
66,97.0,365719943,108.0,121.0,0.453,XDS,30.0,99.0,3.0,,2022-09-20,10:16
67,84.0,365662442,85.0,105.0,0.085,XDS,30.0,10.0,3.0,,2022-09-20,10:16
68,85.0,365668335,85.0,87.0,1.098,XDS,30.0,100.0,3.0,,2022-09-20,10:16
69,85.0,365725822,92.0,93.0,1.027,XDS,30.0,100.0,3.0,,2022-09-20,10:16
70,98.0,365647156,103.0,105.0,0.52,XDS,30.0,100.0,3.0,,2022-09-20,10:16
71,97.0,365647025,101.0,101.0,0.559,XDS,30.0,100.0,3.0,,2022-09-20,10:16
72,89.0,365633671,92.0,87.0,0.151,XDS,30.0,100.0,3.0,,2022-09-20,10:16
73,85.0,365731015,89.0,82.0,0.126,XDS,30.0,100.0,3.0,,2022-09-20,10:16
74,84.0,365726299,85.0,87.0,0.165,XDS,30.0,100.0,3.0,,2022-09-20,10:16
75,84.0,365651669,85.0,82.0,0.126,XDS,30.0,100.0,3.0,,2022-09-20,10:16
76,93.0,365707779,100.0,84.0,0.651,XDS,30.0,100.0,2.0,,2022-09-20,10:16
77,93.0,365707800,100.0,84.0,0.644,XDS,30.0,100.0,2.0,,2022-09-20,10:16
78,85.0,365713717,87.0,82.0,0.108,XDS,30.0,100.0,3.0,,2022-09-20,10:16
79,87.0,365663911,92.0,98.0,0.123,XDS,30.0,100.0,3.0,,2022-09-20,10:16
80,77.0,261187398,80.0,74.0,0.749,XDS,30.0,87.0,2.0,,2022-09-20,10:16
81,98.0,365647127,103.0,93.0,0.708,XDS,30.0,100.0,2.0,,2022-09-20,10:16
82,84.0,365706043,90.0,89.0,0.561,XDS,30.0,100.0,3.0,,2022-09-20,10:16
83,95.0,365707820,101.0,85.0,0.636,XDS,30.0,100.0,2.0,,2022-09-20,10:16
84,95.0,365707684,101.0,84.0,0.651,XDS,30.0,100.0,2.0,,2022-09-20,10:16
85,98.0,365647110,101.0,85.0,0.497,XDS,30.0,100.0,2.0,,2022-09-20,10:16
86,69.0,406796926,71.0,71.0,0.457,XDS,30.0,100.0,3.0,,2022-09-20,10:16
87,69.0,365744576,71.0,56.0,0.784,XDS,30.0,100.0,2.0,,2022-09-20,10:16
88,80.0,365630756,85.0,64.0,0.68,XDS,30.0,86.0,2.0,,2022-09-20,10:16
89,80.0,406796957,85.0,71.0,0.526,XDS,30.0,86.0,2.0,,2022-09-20,10:16
90,55.0,365663491,60.0,50.0,0.728,XDS,30.0,100.0,2.0,,2022-09-20,10:16
91,69.0,365716112,72.0,51.0,0.688,XDS,30.0,75.0,2.0,,2022-09-20,10:16
92,51.0,460605251,56.0,50.0,0.306,XDS,30.0,89.0,2.0,,2022-09-20,10:16
93,47.0,460599421,53.0,47.0,0.129,XDS,30.0,99.0,2.0,,2022-09-20,10:16
94,58.0,460599420,61.0,58.0,0.096,XDS,30.0,90.0,3.0,,2022-09-20,10:16
