,segment_id_telraam_ref,year_telraam_ref,direction_telraam_ref,uptime_telraam_ref,heavy_telraam_ref,car_telraam_ref,bike_telraam_ref,pedestrian_telraam_ref,v85_telraam_ref,count_days_telraam_ref
0,9000001395,2021,1,0.6808040975986338,52.61775931011435,349.6351066643284,141.73191622807727,12.363012222919412,30.157691811771205,209
2,9000001799,2021,1,0.596084363902637,3.681061312942846,17.84662836033969,287.4087386381737,74.68194048388901,24.793960037966755,269
4,9000002131,2021,1,0.5832950066828679,203.11786085129907,923.8011366430011,194.5308459109267,15.614169972433672,39.4662607898772,228
6,9000002278,2021,1,0.650540171754432,14.675246803740672,134.6430078555872,173.05074296608072,37.89520185287197,25.601533903699426,203
8,9000002313,2021,1,0.6272976804146585,137.55624763126536,571.0003469785736,200.47779421196392,48.80679200964484,38.866714705797584,196
10,9000002438,2021,1,0.6553144904613731,15.271753661523809,83.57334604728102,93.27889023811633,13.579872738323163,32.93388929940421,184
13,9000002543,2022,1,0.6788416761080386,8.858742258125682,55.64701704776944,101.75039067638134,18.213305775753543,30.092478215774758,208
14,9000002571,2021,1,0.6681099133498195,14.242914173976796,103.33536530937576,36.03391941847356,6.538764414664426,28.50180862618568,81
15,9000003492,2022,1,0.6903173340731664,21.560072894503573,130.8058676480303,42.319997980783604,5.202579360976571,22.997740923292394,98
16,9000003844,2022,1,0.6374398743157359,50.78522048737358,208.61889171183435,201.8133093730588,17.3029087184051,21.6532403882756,54
17,9000003924,2022,1,0.641016712945659,48.79381401107459,207.67487713494626,133.4807176030935,11.344969295991891,28.899910442634216,39
